"","timeslot","colony","treatment","similarity","target_color","target_concentration","companion_color","companion_concentration","species","total_visitation","flowertype","number_individuals","relative_target_visitation","date","start_time_of_experiment","temp_at_start_of_experiment","comments","id","attractiveness"
"188",9,"11","3","Similar","orange",10,"yellow","40","honeybee",13,"companion",0,0.307692307692308,"2025-02-26","12:22",26,"","11_3","high"
"189",8,"11","3","Similar","orange",10,"yellow","40","stingless",8,"target",1,0.125,"2025-02-26","12:22",26,"","11_3","high"
"190",8,"11","3","Similar","orange",10,"yellow","40","honeybee",8,"target",0,0.125,"2025-02-26","12:22",26,"","11_3","high"
"191",8,"11","3","Similar","orange",10,"yellow","40","stingless",8,"companion",7,0.125,"2025-02-26","12:22",26,"","11_3","high"
"192",8,"11","3","Similar","orange",10,"yellow","40","honeybee",8,"companion",0,0.125,"2025-02-26","12:22",26,"","11_3","high"
"193",7,"11","3","Similar","orange",10,"yellow","40","stingless",12,"target",3,0.25,"2025-02-26","12:22",26,"","11_3","high"
"194",7,"11","3","Similar","orange",10,"yellow","40","honeybee",12,"target",0,0.25,"2025-02-26","12:22",26,"","11_3","high"
"195",7,"11","3","Similar","orange",10,"yellow","40","stingless",12,"companion",9,0.25,"2025-02-26","12:22",26,"","11_3","high"
"196",7,"11","3","Similar","orange",10,"yellow","40","honeybee",12,"companion",0,0.25,"2025-02-26","12:22",26,"","11_3","high"
"197",10,"13","5","control","orange",10,"orange","10","stingless",2,"target",1,1,"2025-02-26","12:17",26,"","13_5","control"
"198",10,"13","5","control","orange",10,"orange","10","honeybee",2,"target",0,1,"2025-02-26","12:17",26,"","13_5","control"
"199",10,"13","5","control","orange",10,"orange","10","stingless",2,"companion",0,1,"2025-02-26","12:17",26,"","13_5","control"
"200",10,"13","5","control","orange",10,"orange","10","honeybee",2,"companion",0,1,"2025-02-26","12:17",26,"","13_5","control"
"201",9,"13","5","control","orange",10,"orange","10","stingless",2,"target",1,1,"2025-02-26","12:17",26,"","13_5","control"
"202",9,"13","5","control","orange",10,"orange","10","honeybee",2,"target",0,1,"2025-02-26","12:17",26,"","13_5","control"
"203",9,"13","5","control","orange",10,"orange","10","stingless",2,"companion",0,1,"2025-02-26","12:17",26,"","13_5","control"
"204",9,"13","5","control","orange",10,"orange","10","honeybee",2,"companion",0,1,"2025-02-26","12:17",26,"","13_5","control"
